,Artist Name,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,$NOT,0.713,0.47,-8.698,0.0864,0.606,1.35e-05,0.306,0.0825,84.518
1,4*TOWN (From Disney and Pixar’s Turning Red),0.7796666666666666,0.505,-10.134333333333332,0.08796666666666668,0.11436666666666666,2.3533333333333334e-06,0.1052,0.48666666666666664,111.71566666666666
2,5 Seconds of Summer,0.586375,0.65525,-4.56275,0.1262875,0.08751487499999999,4.3375e-07,0.143675,0.41050000000000003,131.616
3,AJ Mitchell,0.6253333333333333,0.527888888888889,-6.476222222222223,0.05602222222222222,0.3092888888888889,1.746666666666667e-06,0.08376666666666667,0.395,123.87611111111111
4,Adam Hicks,0.5700000000000001,0.8424545454545455,-3.8981818181818184,0.05824545454545455,0.04031281818181818,9.763636363636364e-07,0.07663636363636363,0.5777272727272726,140.24563636363635
5,Adrian Lyles,0.6166666666666667,0.45933333333333337,-6.692666666666667,0.07006666666666667,0.3807,0.0,0.09363333333333335,0.5206666666666667,86.14633333333335
6,Alan Walker,0.5823333333333333,0.7223333333333333,-5.267666666666667,0.05356666666666666,0.019791,6.24e-06,0.238,0.2321333333333333,137.60833333333332
7,Alec Benjamin,0.6513,0.6,-5.5586,0.055499999999999994,0.5157999999999999,0.00011533000000000001,0.20869999999999997,0.5999,126.94680000000001
8,Alessia Cara,0.47244444444444444,0.5677777777777778,-7.011666666666667,0.12584444444444445,0.32053333333333334,3.326666666666667e-05,0.11948888888888888,0.3561111111111111,125.31522222222222
9,Alesso,0.63,0.6699999999999999,-4.6114999999999995,0.0553,0.03055,0.000126,0.27349999999999997,0.39849999999999997,124.951
10,Alok,0.6323333333333333,0.8113333333333334,-4.726666666666667,0.0733,0.06653,2.430333333333333e-05,0.16656666666666667,0.5196666666666667,117.39
11,Andrew Garfield,0.51,0.6910000000000001,-5.724,0.14065,0.1108,0.0,0.058300000000000005,0.489,161.7575
12,Anne-Marie,0.6103333333333333,0.73,-4.449666666666666,0.12003333333333333,0.07441,0.0,0.16768333333333332,0.5398333333333333,94.30283333333334
13,Ariana Grande,0.6637777777777778,0.5781111111111111,-7.138111111111111,0.0799,0.2829111111111111,1.0827777777777779e-05,0.10792222222222222,0.39955555555555555,122.8288888888889
14,Ashe,0.5401818181818182,0.47918181818181815,-7.956363636363636,0.03397272727272727,0.41962272727272726,0.0011157245454545455,0.16967272727272728,0.3977272727272727,111.54472727272727
15,Ashley Tisdale,0.6411428571428571,0.7158571428571429,-4.7832857142857135,0.06168571428571429,0.17803714285714287,2.952857142857143e-06,0.1922857142857143,0.5,115.00728571428571
16,Ashton Irwin,0.48310000000000003,0.6212,-6.7974000000000006,0.04009,0.34859,0.097887563,0.21322000000000002,0.35845000000000005,119.4642
17,Austin Moon,0.6437999999999999,0.8711,-5.2204999999999995,0.09715,0.015917999999999998,1.878e-06,0.13435999999999998,0.7963,134.1637
18,BTS,0.645,0.862,-4.761,0.0845,0.0933,0.0,0.193,0.803,119.947
19,Bazzi,0.7079,0.6616000000000001,-5.2007,0.04482,0.27409,7.09e-07,0.16817,0.4833,126.502
20,Bea Miller,0.678375,0.652,-5.578,0.093,0.082295,3.230125e-05,0.30075,0.470125,129.020125
21,Beach Bunny,0.5081,0.8747999999999999,-4.974600000000001,0.04802,0.0030215000000000003,0.010022026,0.18045,0.6883,143.5661
22,Bebe Rexha,0.619,0.7805,-6.00125,0.047875,0.0791275,0.00096075,0.127975,0.38575,130.23025
23,Bella Thorne,0.761142857142857,0.5622857142857143,-7.164857142857143,0.07031428571428572,0.270737,0.036397825714285716,0.1578142857142857,0.5527142857142857,118.52985714285714
24,Ben Ward,0.394,0.624,-7.618,0.0425,0.412,1.13e-06,0.0942,0.338,79.57
25,Benji,0.667,0.408,-10.3,0.0415,0.463,0.0,0.125,0.392,110.073
26,Beyoncé,0.533,0.355,-6.132,0.0289,0.497,0.0,0.174,0.256,137.986
27,Billie Eilish,0.5635454545454546,0.3340909090909091,-11.549818181818182,0.08150909090909092,0.3884727272727273,0.14899403,0.11920909090909092,0.3668181818181818,119.35172727272726
28,BoyWithUke,0.717,0.7,-5.843,0.0382,0.189,0.0,0.374,0.568,103.517
29,Boyce Avenue,0.625,0.5025,-7.711500000000001,0.03875,0.585,0.0,0.11249999999999999,0.5215000000000001,78.51400000000001
30,Brian D'Arcy James,0.837,0.574,-8.86,0.321,0.781,0.0,0.304,0.824,116.433
31,Bridgit Mendler,0.57225,0.6473749999999999,-5.388875,0.043437500000000004,0.20579787500000002,9.262874999999999e-05,0.1585125,0.462375,135.76975
32,Bruno Martini,0.707,0.721,-7.0,0.039,0.329,0.000309,0.0819,0.444,109.977
33,CNCO,0.534,0.911,-3.086,0.0852,0.15,0.0,0.0986,0.624,93.767
34,Calvin Harris,0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994
35,Camila Cabello,0.6594285714285714,0.65,-5.595714285714286,0.058557142857142856,0.09622857142857143,0.0007724857142857143,0.17224285714285714,0.39001428571428576,109.28257142857144
36,Cast - Liv and Maddie,0.505,0.247,-8.187,0.0431,0.939,0.0,0.101,0.458,54.548
37,Cast of High School Musical: The Musical: The Series,0.5984,0.7028000000000001,-6.302,0.0921,0.190658,6.650000000000001e-06,0.13016,0.5557000000000001,136.0543
38,Cavetown,0.5843,0.4676,-9.8529,0.05038,0.26728300000000005,0.007429458,0.09311,0.2878,132.4456
39,Chandler Kinney,0.613,0.928,-5.309,0.0921,0.0268,0.000134,0.21,0.649,140.004
40,Charli XCX,0.7376,0.7908000000000001,-5.3388,0.10157000000000001,0.1369803,0.10092999700000001,0.13454,0.5861,132.1763
41,Charlie Puth,0.718875,0.5785,-6.396375,0.08675,0.3412625,7.625e-05,0.1429,0.6543749999999999,126.12275
42,Chase Atlantic,0.4756666666666667,0.6975833333333333,-5.971583333333334,0.07050833333333333,0.079495,0.0085480575,0.208275,0.29580833333333334,138.03216666666665
43,Cheat Codes,0.762,0.693,-4.669,0.0331,0.0321,0.0,0.131,0.609,139.984
44,Cher Lloyd,0.6771111111111111,0.7426666666666667,-4.398666666666667,0.08277777777777778,0.11858888888888888,0.0,0.2763555555555556,0.5516666666666666,120.61699999999999
45,China Anne McClain,0.6573333333333333,0.896,-4.691333333333334,0.11986666666666668,0.043473333333333336,1.28e-05,0.2723333333333333,0.5503333333333333,125.99466666666666
46,Clairo,0.7328888888888889,0.48807777777777783,-9.610888888888889,0.0533,0.5723333333333334,0.048182022222222225,0.14786666666666667,0.5777777777777778,115.18711111111111
47,Clean Bandit,0.7159999999999999,0.617,-5.739333333333334,0.044066666666666664,0.19123333333333334,2.3413333333333335e-05,0.2135,0.45966666666666667,110.97466666666666
48,Conan Gray,0.4626,0.5493,-6.5486,0.04004,0.281229,2.65e-06,0.21006999999999998,0.42780000000000007,124.43440000000001
49,Corbin Bleu,0.7898333333333333,0.8380000000000001,-4.788666666666667,0.09716666666666667,0.033591333333333334,0.029334438333333334,0.25971666666666665,0.6858333333333334,118.66166666666668
50,Cozi Zuehlsdorff,0.7315,0.776,-6.221,0.1251,0.158,0.0001235,0.09584999999999999,0.4395,113.5205
51,DNCE,0.7111111111111111,0.7307777777777777,-5.7652222222222225,0.06536666666666667,0.08417777777777777,4.9111111111111114e-05,0.17200000000000001,0.8321111111111111,119.66555555555556
52,Danielle Ferland,0.7215,0.4175,-11.068999999999999,0.41000000000000003,0.5715,0.0,0.3805,0.6479999999999999,136.9605
53,Dara Reneé,0.5758571428571428,0.6609999999999999,-5.4388571428571435,0.07717142857142857,0.22249714285714287,0.0001165142857142857,0.16985714285714287,0.32771428571428574,133.56199999999998
54,David Guetta,0.622,0.8450000000000001,-4.065333333333333,0.06269999999999999,0.04736333333333334,6.0356666666666664e-05,0.22766666666666668,0.4406666666666667,117.00566666666667
55,Daya,0.8135999999999999,0.712,-4.7162,0.07658000000000001,0.13505999999999999,0.004921938,0.2559,0.47759999999999997,109.2104
56,Dean Lewis,0.713,0.451,-4.693,0.0406,0.186,0.0,0.439,0.316,117.018
57,Debby Ryan,0.5578333333333333,0.8646666666666666,-4.328166666666667,0.06601666666666667,0.06239833333333333,2.0216666666666667e-06,0.2618333333333333,0.7976666666666666,119.08466666666668
58,Demi Lovato,0.5162857142857142,0.6907142857142857,-5.102642857142857,0.06957142857142858,0.14578357142857143,1.742857142857143e-05,0.20592857142857143,0.5335714285714286,124.5185
59,Dominic Fike,0.394,0.327,-14.291,0.114,0.849,0.0,0.125,0.411,93.358
60,Dove Cameron,0.6024347826086957,0.7788260869565218,-5.640086956521739,0.1254304347826087,0.11416869565217391,0.00027438086956521737,0.26079565217391304,0.5016608695652174,137.5406956521739
61,Dua Lipa,0.73675,0.7545,-4.807,0.056162500000000004,0.018342499999999998,0.00018571625,0.134275,0.744375,117.882
62,Elijah Kelley,0.52,0.944,-4.721,0.157,0.0382,0.0,0.141,0.725,170.484
63,Elton John,0.795,0.8,-6.32,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032
64,Emily Osment,0.6003333333333334,0.7198888888888889,-5.810888888888889,0.05073333333333333,0.11406087777777778,0.007679155555555555,0.18335555555555555,0.6180666666666667,129.0763333333333
65,FINNEAS,0.562875,0.26918749999999997,-11.4715,0.1293,0.783875,0.000633725,0.138225,0.3105875,142.49775
66,FLETCHER,0.812,0.585,-4.644,0.0615,0.202,0.00216,0.245,0.611,118.037
67,Fifth Harmony,0.7162222222222222,0.7861111111111111,-4.384111111111111,0.07202222222222222,0.04193444444444445,0.00013435555555555554,0.14115555555555556,0.6074444444444445,113.90355555555556
68,Frankie Rodriguez,0.6212222222222222,0.5175555555555555,-6.587888888888888,0.08834444444444445,0.5435555555555556,0.0,0.16715555555555556,0.5766666666666667,97.144
69,G-Eazy,0.6725,0.7025,-6.4305,0.09135,0.0359,0.0,0.23299999999999998,0.29000000000000004,99.95150000000001
70,Galantis,0.6345000000000001,0.7915000000000001,-4.8835,0.06939999999999999,0.1745,0.0,0.05665,0.5285,124.522
71,Gavin Creel,0.508,0.27,-12.758,0.0756,0.753,0.0,0.0775,0.386,131.591
72,Gracie Abrams,0.6434444444444445,0.5194444444444444,-7.931666666666666,0.062000000000000006,0.5963333333333334,0.005278385555555556,0.1248888888888889,0.39311111111111113,125.89533333333333
73,Gryffin,0.571,0.776,-4.855,0.04865,0.1179,0.00167,0.1575,0.3485,135.0145
74,HRVY,0.6900000000000001,0.758,-5.113200000000001,0.08592,0.11374,3.58e-07,0.16124,0.7546,113.38520000000001
75,Hailee Steinfeld,0.6358,0.6801,-5.8278,0.07264,0.16465000000000002,1.823e-06,0.14042,0.4779,112.66890000000001
76,Halsey,0.6672,0.5808,-6.0354,0.04922,0.14089836,1.84e-06,0.12698,0.5214,109.918
77,Hannah Montana,0.639,0.845,-3.729,0.0346,0.00651,0.0,0.0619,0.729,94.036
78,Harry Styles,0.5378000000000001,0.5843999999999999,-5.9178999999999995,0.0418,0.30732,0.00013296600000000001,0.14198,0.39622999999999997,122.73889999999999
79,Hayley Kiyoko,0.7274,0.6944,-5.336,0.06288,0.05416,0.00043217599999999994,0.16902,0.517,119.03420000000001
80,Hey Violet,0.6061111111111112,0.6566666666666667,-5.918222222222223,0.07078888888888889,0.13349444444444447,2.5355555555555556e-05,0.1781111111111111,0.5038888888888889,126.9841111111111
81,High School Musical Cast,0.5897,0.7739,-4.608700000000001,0.051770000000000004,0.205772,1.1e-07,0.11506000000000001,0.4955,116.70779999999999
82,Hugh Jackman,0.5435,0.80325,-8.14525,0.15999999999999998,0.0025969999999999995,0.027798,0.12725,0.33625,146.966
83,Imanbek,0.719,0.828,-6.08,0.157,0.0034,1.1e-05,0.155,0.363,100.084
84,JP Saxe,0.429,0.486,-9.971,0.101,0.866,0.0,0.0982,0.661,146.99
85,JVKE,0.326,0.645,-4.374,0.0442,0.646,0.00521,0.224,0.183,188.488
86,Jack & Jack,0.74675,0.63725,-6.641,0.09065,0.2056625,1.2625e-06,0.16465,0.52425,113.245625
87,James Arthur,0.67,0.743,-4.993,0.0393,0.237,0.0,0.465,0.571,125.944
88,James T. Lane,0.417,0.453,-7.73,0.219,0.246,0.0,0.182,0.474,202.972
89,Jay Goede,0.5925,0.5005,-10.927,0.5575,0.6535,6.45e-07,0.3235,0.5525,117.64349999999999
90,Jennette McCurdy,0.5166999999999999,0.6205,-5.7351,0.03328,0.32754,7.19e-06,0.13847,0.4906,144.73340000000002
91,Jeremy Zucker,0.6492727272727273,0.2540727272727273,-12.238272727272728,0.06303636363636364,0.6834545454545454,0.0007031,0.3972727272727273,0.47654545454545455,97.50409090909092
92,Joe Jonas,0.52475,0.78575,-5.482,0.044275,0.12450699999999999,2.625e-06,0.17665,0.5760000000000001,125.356
93,Joe Serafini,0.4563333333333333,0.5556666666666666,-7.98,0.0413,0.18103333333333335,0.0,0.10166666666666667,0.365,110.73200000000001
94,Joel Corry,0.716,0.963,-3.097,0.0931,0.0344,0.0,0.292,0.707,124.97
95,Johnny Orlando,0.6203333333333334,0.5735555555555556,-6.47,0.060188888888888896,0.3162555555555555,3.109555555555555e-05,0.13836666666666667,0.3438888888888889,99.83244444444443
96,Jonas Blue,0.693,0.8039999999999999,-4.263599999999999,0.057940000000000005,0.255,4.198e-05,0.1662,0.5964,115.0346
97,Jonas Brothers,0.7675,0.7535,-5.327875,0.0570625,0.0585775,7.9375e-07,0.15295,0.768125,116.759875
98,Jordan Fisher,0.628,0.49366666666666664,-8.388333333333334,0.0775,0.27476666666666666,0.0,0.31193333333333334,0.40166666666666667,104.38466666666666
99,Josh Groban,0.629,0.375,-10.217,0.07,0.732,0.0,0.113,0.193,120.591
100,Joshua Bassett,0.598375,0.51825,-6.587375,0.072875,0.3468,4.7125e-07,0.116975,0.51275,107.24875
101,Julia Lester,0.5865555555555555,0.6195555555555555,-6.315555555555556,0.1126888888888889,0.3021411111111111,0.0,0.1302222222222222,0.5446666666666666,130.09344444444443
102,Julia Michaels,0.558,0.433,-7.13625,0.04095,0.6055,0.0,0.082525,0.30225,139.14600000000002
103,Julie Andrews,0.677,0.529,-7.414,0.0466,0.258,1.5e-06,0.133,0.32,109.933
104,Justin Bieber,0.6737142857142857,0.692,-6.210285714285715,0.13452857142857141,0.293072,0.00021454285714285715,0.23917142857142856,0.5272857142857144,108.91885714285715
105,Justin Timberlake,0.456,0.459,-8.16,0.0811,0.475,0.0,0.0861,0.211,116.049
106,Kate Reinders,0.5962,0.5516,-7.8102,0.25288,0.47492,0.00238,0.0874,0.5044000000000001,107.66860000000001
107,Katy Perry,0.6728,0.7628,-4.4314,0.0445,0.02493993,4.243e-06,0.23618,0.6169,127.2923
108,Kelsea Ballerini,0.607,0.418,-6.997,0.0363,0.394,0.0,0.182,0.386,95.002
109,Kevin Jonas,0.605,0.846,-4.581,0.0778,0.000738,1.25e-06,0.053,0.764,132.997
110,King,0.62,0.591,-5.21,0.067,0.0873,0.0,0.0964,0.432,95.812
